SIZE,toupper_rawloop,toupper_rawloop_algo,toupper_transform,toupper_branch,toupper_lookup
1800,1.805413,9.46843,10.570982,2.416078,2.341669
1800,1.804987,9.245876,9.457524,2.420476,2.341687
1800,1.804686,9.123055,10.56951,2.438262,2.341811
1800,1.804828,9.123002,10.425214,2.914473,2.225196
1800,1.803285,9.124243,10.424522,2.773103,2.048484
1800,1.579632,9.12325,10.873353,2.793018,2.095566
1800,1.57949,9.123179,10.199025,2.780799,2.048892
1800,1.579419,9.123144,9.123658,2.773919,2.049193
1900,2.38219,10.423056,10.413211,3.179114,2.050138
1900,2.35284,9.37524,10.406978,2.62631,2.046996
1900,2.350303,9.245158,9.361834,2.622161,2.047097
1900,2.350774,9.118368,9.108254,2.545956,2.047164
1900,2.325943,10.557036,9.10891,2.51034,2.047164
1900,1.580426,10.418335,9.148238,2.51118,2.047063
1900,1.582375,10.418873,9.108187,2.527862,2.046979
1900,1.582308,10.418654,9.10817,2.527946,2.04708
1900,1.582056,10.483402,9.108271,2.620632,2.047198
1900,1.580393,10.418856,9.108221,2.560589,2.047198
2000,2.373699,10.510474,10.405218,3.609466,2.047923
2000,2.348865,9.328061,9.278123,2.907912,2.047189
2000,2.346631,9.104238,9.104829,2.851924,2.047189
2000,2.346072,9.10427,9.144745,2.837225,2.047269
2000,2.347062,9.104222,9.104813,2.733006,2.047253
2000,2.135927,9.105898,9.104781,2.399522,2.047157
2000,1.572906,9.300483,9.104589,2.39949,2.046136
2000,1.572954,9.105387,9.105068,2.398916,2.046152
2000,1.573065,9.10427,9.105004,2.399458,2.047301
2000,1.572778,9.104111,9.104797,2.400256,2.047285
2100,2.37769,10.392802,10.389732,3.935204,2.353978
2100,2.366579,10.386722,10.38885,3.701413,2.353842
2100,2.366214,10.386905,10.386114,3.091923,2.353203
2100,2.365074,10.463239,10.387285,3.065992,2.353431
2100,2.366047,10.38692,10.438296,3.012914,2.353249
2100,2.365834,10.385719,10.387087,2.981738,2.353401
2100,2.365287,10.387163,10.38578,2.964897,2.353142
2100,2.365865,10.385354,10.385826,2.95871,2.352823
2100,2.366002,10.385902,10.387285,2.85801,2.352854
2100,2.365318,10.564106,10.387437,2.845562,2.352945
2200,2.39474,10.438696,10.385317,4.083961,2.351996
2200,2.364169,10.384403,10.381051,3.188953,2.351184
2200,2.363937,10.498677,10.381051,3.088042,2.3513
2200,2.363865,10.38362,10.599167,3.098344,2.352489
2200,2.36356,10.383329,10.380892,3.076101,2.463658
2200,2.363618,10.383736,10.380848,3.089073,2.351677
2200,2.363531,10.383402,10.38108,3.010361,2.351082
2200,2.363894,10.436592,10.380689,2.932374,2.351082
2200,2.363705,10.38346,10.417397,3.128914,2.352301
2200,2.363821,10.383736,10.380544,3.145034,2.351401
2300,2.381149,10.461947,10.43505,4.194191,2.349243
2300,2.360567,10.378288,10.3774,3.366422,2.348563
2300,2.359846,10.378691,10.378386,3.093159,2.348674
2300,2.360664,10.37876,10.378857,3.594372,2.348452
2300,2.360317,10.378524,10.378497,3.02467,2.348604
2300,2.359637,10.431942,10.422921,3.015774,2.348618
2300,2.359193,10.378469,10.37901,2.98198,2.348382
2300,2.360262,10.378857,10.378233,2.944023,2.349229
2300,2.360734,10.378358,10.378871,2.951864,2.348618
2300,2.359624,10.379426,10.378524,2.938958,2.348313
2400,2.380979,10.367244,10.376367,4.112546,2.348527
2400,2.358289,10.363387,10.374346,3.268674,2.347264
2400,2.357478,10.453388,10.537085,3.222976,2.347556
2400,2.359713,10.36336,10.374439,3.09092,2.34745
2400,2.357797,10.363147,10.374585,3.043905,2.347038
2400,2.357651,10.36348,10.404058,3.009085,2.347064
2400,2.358356,10.363081,10.374732,3.022332,2.347676
2400,2.358383,10.447483,10.409631,3.1016,2.347038
2400,2.357359,10.363267,10.374745,3.063376,2.346878
2400,2.35825,10.363067,10.374319,3.123239,2.346639
2500,2.393872,10.377562,10.376183,4.532244,2.419408
2500,2.176906,10.372762,10.374077,3.634143,2.420098
2500,1.795794,10.373132,10.374932,3.608977,2.419855
2500,1.795653,10.416339,10.847323,3.394169,2.4208
2500,1.795079,10.373004,10.363147,3.3248,2.420302
2500,1.795768,10.372391,10.362675,3.35709,2.420532
2500,1.79527,10.372762,10.362585,3.203555,2.420059
2500,1.795334,9.240087,10.392756,3.223256,2.41923
2500,1.795334,10.419033,10.360645,3.394807,2.419549
2500,1.795577,10.372762,10.361117,3.307729,2.420953
2600,2.389605,10.361232,10.372281,4.475024,2.371546
2600,2.096015,10.359194,10.370906,3.588213,2.36041
2600,1.793008,10.360066,10.410954,3.453044,2.360484
2600,1.793523,10.407725,10.370538,3.3626,2.360337
2600,1.79275,10.360544,10.369863,3.478457,2.360374
2600,1.793622,10.359894,10.370329,3.35451,2.36197
2600,1.793339,10.389813,10.370698,3.218629,2.361024
2600,1.792615,10.411764,10.766137,3.481723,2.360202
2600,1.792799,10.360213,10.370685,3.362723,2.360312
2600,1.792529,10.359808,10.370256,3.338365,2.360496
2700,2.387793,10.369815,10.760575,4.72559,2.359515
2700,2.366111,10.461662,10.366327,3.654864,2.358451
2700,1.867178,10.368113,10.366741,3.659593,2.62419
2700,1.79232,10.367119,10.366197,3.564897,2.359302
2700,1.792095,10.367415,10.366126,3.570819,2.358616
2700,1.791126,10.368538,10.398176,3.401573,2.358309
2700,1.79141,10.417979,10.366162,3.62409,2.358285
2700,1.791197,10.368124,10.366398,3.536961,2.359278
2700,1.791138,10.367309,10.366032,3.401927,2.359385
2700,1.791492,10.368361,10.411701,3.407744,2.358888
2800,2.375897,10.369805,10.366396,4.854143,2.357315
2800,2.367096,10.366305,10.36447,4.270372,2.357018
2800,2.366925,10.365598,10.405407,4.228066,2.357189
2800,2.366651,10.415941,10.364116,3.891276,2.356403
2800,2.365979,10.365997,10.363877,3.864155,2.356927
2800,2.266206,10.366955,10.364173,3.827675,2.393533
2800,1.788614,10.365701,10.779954,3.825031,2.356334
2800,1.788455,10.393186,10.364686,4.026229,2.356129
2800,1.788272,10.366556,10.364344,3.850783,2.35711
2800,1.788352,10.366214,10.364185,3.515794,2.356357
2900,2.37902,10.364578,10.36449,4.753879,2.359306
2900,2.365019,10.362674,10.363808,4.115137,2.354331
2900,2.363335,10.362641,10.761729,3.835386,2.354584
2900,2.364722,10.393889,10.364644,3.798194,2.39236
2900,2.363599,10.362124,10.363444,3.756346,2.354518
2900,2.363819,10.362256,10.364369,3.801914,2.358503
2900,2.363522,10.362289,10.392062,3.761145,2.354981
2900,2.364215,10.362322,10.3646,3.834902,2.354837
2900,1.985897,10.410829,10.363852,3.92233,2.354639
2900,1.787377,10.362311,10.36351,3.855606,2.354518
3000,2.383945,10.365871,10.361902,5.172061,2.354377
3000,2.362367,10.3622,10.385481,4.433975,2.352887
3000,2.362154,10.3622,10.360721,4.379935,2.353036
3000,2.36175,10.401185,10.410133,4.27097,2.356473
3000,2.362112,10.362158,10.3607,4.231528,2.356345
3000,2.362325,10.362232,10.720875,4.097677,2.356388
3000,2.735033,10.362232,10.360796,4.201332,2.353174
3000,1.784807,10.387353,10.360455,4.185638,2.352951
3000,1.784754,10.362413,10.360647,4.162102,2.353025
3000,2.350493,10.3617,10.385034,4.017441,2.352898
3100,2.382571,10.363405,10.360892,5.485246,2.38602
3100,2.361442,10.400483,10.358864,4.959668,2.355202
3100,2.361164,10.360068,10.359976,4.748697,2.352329
3100,2.361565,10.360388,10.395757,4.758994,2.351927
3100,2.360947,10.360048,10.359204,4.535986,2.351804
3100,2.360958,10.397106,10.359224,4.643547,2.351835
3100,2.36103,10.360501,10.358524,4.623344,2.354986
3100,2.36104,10.359873,10.697576,4.771062,2.351855
3100,2.360227,10.360408,10.350163,4.7297,2.355099
3100,2.360855,10.486894,10.349669,4.692662,2.354862
3200,2.378399,10.360753,10.468144,5.633022,2.354838
3200,2.359147,10.357751,10.358818,4.905136,2.3539
3200,2.330749,10.416314,10.357781,4.735931,2.384903
3200,1.781615,10.358409,10.35799,4.666963,2.350689
3200,1.781415,10.357571,10.382818,4.684958,2.350689
3200,1.781395,10.35787,10.35796,4.963041,2.350479
3200,1.781435,10.391157,10.357781,5.057435,2.351626
3200,1.781635,10.357741,10.634487,4.849177,2.350649
3200,1.781475,9.22082,10.350379,4.821915,2.350539
3200,1.782533,10.357541,10.35008,4.686854,2.35391
3300,1.839675,10.35922,10.383963,5.695224,2.353142
3300,1.816838,10.356067,10.357605,5.093281,2.349476
3300,1.816625,10.411656,10.356957,5.1796,2.352185
3300,1.815039,10.355728,10.626536,4.948751,2.349225
3300,1.814981,10.356183,10.35715,4.955996,2.35233
3300,1.879227,10.355351,10.357576,5.185143,2.351846
3300,1.817235,10.451962,10.357305,5.134081,2.374974
3300,1.829983,10.355467,10.381787,5.112975,2.352214
3300,1.816374,10.355631,10.357295,5.120394,2.351701
3300,1.816113,10.355515,10.357305,4.816447,2.352504
3400,2.377843,10.358387,10.356838,6.02951,2.351302
3400,2.356297,10.394476,10.371672,5.793987,2.348204
3400,2.356485,10.35574,10.348098,5.912664,2.380518
3400,2.357761,10.355684,10.34806,5.840421,2.348336
3400,2.356569,10.392307,10.348445,5.728617,2.350382
3400,2.356532,10.355637,10.620563,5.656609,2.34827
3400,2.355996,10.355928,10.348004,5.891953,2.34827
3400,2.356419,10.355289,10.348408,6.230005,2.350692
3400,2.356306,10.458532,10.348117,6.259991,2.348336
3400,2.356325,10.355993,10.372826,6.196799,2.35073
3500,2.367288,10.35752,10.354757,6.138034,2.350142
3500,2.352577,10.354812,10.353653,5.574472,2.347032
3500,2.352714,10.390753,10.587928,5.479305,2.347096
3500,1.880444,10.355313,10.354228,5.42961,2.347233
3500,2.212795,10.355003,10.353781,5.538001,2.364579
3500,1.791305,10.454128,10.347351,5.609192,2.346886
3500,1.790867,10.354702,10.381187,5.966787,2.347032
3500,1.791287,10.35483,10.347315,5.982054,2.34954
3500,1.791031,10.354501,10.346859,5.95691,2.349285
3500,1.790922,10.386485,10.366047,6.109789,2.349467
3600,2.372933,10.356134,10.354609,6.323866,2.347175
3600,2.354322,10.353358,10.354263,5.943203,2.346342
3600,1.793195,10.398738,10.682143,5.822829,2.363667
3600,1.792406,10.353961,10.353527,5.84754,2.346209
3600,2.016395,10.353633,10.353926,5.906894,2.346129
3600,1.792299,10.374497,10.353412,5.648625,2.346413
3600,1.7919,10.353633,10.375534,5.673071,2.346386
3600,1.792494,10.35397,10.353483,5.634359,2.346076
3600,1.79253,10.353651,10.354174,5.631087,2.346102
3600,1.792122,10.381111,10.381306,5.650736,2.346475
3700,2.362934,10.353304,10.35364,6.706728,2.34606
3700,2.353384,10.379702,10.380591,6.693633,2.345257
3700,2.1972,10.352639,10.351967,6.948208,2.345154
3700,1.856536,10.35232,10.352122,6.869762,2.345093
3700,2.351572,10.352708,10.352191,6.761812,2.345309
3700,1.851144,10.478422,10.576916,6.77056,2.345292
3700,1.79544,10.352294,10.352363,6.610839,2.345646
3700,1.794749,10.352579,10.352639,6.661437,2.361804
3700,1.794931,10.375958,10.374043,6.493572,2.34543
3700,1.79487,10.371093,10.352622,6.477793,2.345076
3800,2.360644,10.352706,10.353151,6.934981,2.34512
3800,2.348354,10.35022,10.351463,6.817163,2.344524
3800,2.350018,10.383181,10.592719,6.985583,2.34439
3800,2.348245,10.353109,10.3519,6.960198,2.34612
3800,2.349707,10.350178,10.352059,6.754188,2.34633
3800,2.349707,10.442998,10.372387,7.014722,2.344381
3800,2.367952,10.350102,10.352261,7.012883,2.368766
3800,2.213232,10.35001,10.351404,6.968447,2.344381
3800,2.348648,10.371505,10.378872,6.943406,2.344432
3800,2.349799,10.350152,10.351404,6.992168,2.344255
3900,2.362391,10.351795,10.350731,7.001259,2.34567
3900,2.350851,10.349667,10.571634,6.526208,2.345056
3900,2.350409,10.383551,10.343324,6.501318,2.345097
3900,2.350417,10.350142,10.34307,6.558529,2.345105
3900,2.35022,10.349978,10.36471,6.475823,2.360934
3900,2.350319,10.445329,10.34316,6.609519,2.345007
3900,2.372213,10.350338,10.343234,6.565707,2.345072
3900,2.350916,10.350273,10.368615,6.330374,2.345113
3900,2.350671,10.370808,10.343185,6.228198,2.344958
3900,2.350229,10.349945,10.34334,6.386349,2.345048
4000,2.360731,10.352231,10.632767,7.218293,2.344899
4000,2.349903,10.381796,10.342295,6.804698,2.343965
4000,2.349583,10.347961,10.342311,6.664473,2.342601
4000,2.349647,10.348169,10.3422,6.582782,2.342792
4000,2.008646,10.367927,10.361344,6.763712,2.34288
4000,2.064578,10.348097,10.342152,7.000271,2.344029
4000,2.349751,10.348105,10.342319,7.168793,2.342816
4000,1.883671,10.374056,10.367097,7.501296,2.342681
4000,2.201546,10.348185,10.342343,7.394204,2.342561
4000,2.349926,10.347961,10.34208,7.533774,2.342649
4100,2.36296,10.350239,10.349834,7.199229,2.357899
4100,2.349234,10.34753,10.468304,6.836665,2.34183
4100,2.34837,10.439942,10.348441,6.827065,2.342476
4100,2.348113,10.348129,10.348153,6.920793,2.342064
4100,2.347957,10.347958,10.368371,6.87693,2.342064
4100,2.348004,10.375152,10.348246,6.821865,2.342235
4100,2.347879,10.348184,10.348176,6.864295,2.341939
4100,2.348113,10.347234,10.379169,6.701238,2.342243
4100,2.347763,10.593174,10.34862,6.674285,2.342578
4100,2.202986,10.347148,10.348324,6.705053,2.342064
4200,2.358675,10.396101,10.34911,7.730021,2.342062
4200,2.348415,10.348327,10.368125,7.680545,2.341256
4200,2.348651,10.348335,10.347476,7.668947,2.341264
4200,2.34802,10.430924,10.347301,7.752258,2.341393
4200,2.348187,10.347772,10.371211,7.738875,2.34102
4200,2.347914,10.347864,10.347522,7.852624,2.341499
4200,2.347746,10.374137,10.347301,7.797942,2.341157
4200,2.348278,10.347871,10.372723,7.672656,2.341628
4200,2.347997,10.348335,10.347126,7.783692,2.355726
4200,2.348028,10.555807,10.347316,7.741231,2.341051
4300,2.357864,10.34793,10.55492,7.403658,2.341102
4300,2.347553,10.345628,10.340922,6.938213,2.340567
4300,2.346706,10.379746,10.340313,7.000175,2.34059
4300,2.347196,10.345636,10.358159,7.164496,2.340694
4300,2.347263,10.346437,10.340269,7.078045,2.354931
4300,2.347085,10.420447,10.339927,7.054558,2.340671
4300,2.346625,10.347447,10.364209,7.027745,2.34082
4300,2.044996,10.371973,10.340016,7.08039,2.340753
4300,2.341822,10.346771,10.340796,7.051247,2.340478
4300,2.34687,10.346794,10.36409,7.070421,2.340649
4400,2.357626,10.347688,10.346019,7.753121,2.340614
4400,2.346229,10.380428,10.344416,7.360041,2.339714
4400,2.346185,10.346636,10.364772,7.38623,2.339736
4400,1.795747,10.346665,10.344808,7.486589,2.339671
4400,2.246522,10.411339,10.344496,7.440421,2.339729
4400,2.345358,10.346041,10.367529,7.474141,2.339642
4400,2.345989,10.364867,10.344641,7.4367,2.339751
4400,2.345699,10.346425,10.368399,7.449192,2.353578
4400,2.34538,10.34599,10.344677,7.525554,2.339678
4400,2.345278,10.540862,10.34443,7.839414,2.339707
4500,2.354001,10.34601,10.365289,7.746835,2.339672
4500,2.345999,10.345017,10.338895,7.831934,2.339289
4500,1.794698,10.367169,10.33876,8.190693,2.338991
4500,1.794535,10.345187,10.526053,8.372041,2.339055
4500,1.794415,10.371985,10.338909,8.29095,2.33897
4500,1.794159,10.345045,10.357451,8.259882,2.339325
4500,1.794315,10.345237,10.338987,8.402621,2.352759
4500,1.834244,10.41351,10.338689,8.33085,2.339275
4500,1.794337,10.345166,10.360544,8.213548,2.339119
4500,1.810871,10.345265,10.338817,8.271742,2.339027
4600,2.352164,10.344835,10.338992,8.168703,2.35197
4600,2.344718,10.367651,10.337847,8.03552,2.338376
4600,2.343386,10.343412,10.356826,8.207728,2.338445
4600,2.344552,10.343322,10.337875,8.301323,2.338265
4600,2.378387,10.413185,10.359615,8.205543,2.3383
4600,2.019558,10.343308,10.337917,8.292004,2.338473
4600,2.34451,10.359546,10.337951,8.415077,2.338473
4600,2.129793,10.342774,10.35999,8.169744,2.338404
4600,2.344663,10.343065,10.337833,8.13255,2.338383
4600,2.344538,10.532642,10.338118,8.169188,2.33848
4700,1.809266,10.384357,10.363616,8.145767,2.338609
4700,1.792172,10.34369,10.344199,7.807924,2.337841
4700,1.7926,10.343432,10.343608,7.679062,2.338052
4700,1.792016,10.415285,10.365042,7.804766,2.337896
4700,1.792423,10.342664,10.344321,7.785981,2.337902
4700,1.79186,10.36094,10.343893,7.819959,2.337977
4700,1.792206,10.342277,10.367535,7.855111,2.338038
4700,1.791934,10.342555,10.343927,7.807829,2.35321
4700,1.791982,10.54776,10.356688,7.789451,2.337807
4700,1.791547,10.342521,10.343893,7.683225,2.337746
4800,2.351666,10.344487,10.343902,8.114503,2.338014
4800,2.34356,10.365009,10.513544,7.898032,2.337422
4800,2.343533,10.342067,10.341861,7.967072,2.337329
4800,2.343187,10.353392,10.341834,7.843715,2.337575
4800,2.343274,10.368195,10.359383,7.760756,2.337515
4800,2.20639,10.337053,10.341874,7.849873,2.337468
4800,2.343493,10.411819,10.363001,7.967086,2.337581
4800,2.343354,10.337033,10.342127,8.030141,2.350576
4800,2.343487,10.337319,10.341787,7.998859,2.337575
4800,2.343247,10.354023,10.364364,8.086074,2.337462
4900,2.350367,10.34309,10.342184,8.268029,2.337228
4900,2.343071,10.368183,10.509803,8.0196,2.336928
4900,2.342179,10.341474,10.34107,8.022343,2.336967
4900,2.341951,10.341083,10.341109,8.043182,2.336915
4900,2.341808,10.419183,10.357903,8.087342,2.336889
4900,2.280769,10.34135,10.341148,8.263085,2.349091
4900,1.789767,10.35617,10.354301,8.051937,2.336811
4900,1.789689,10.341103,10.341161,8.297819,2.336922
4900,1.789859,10.341103,10.341025,8.170224,2.336759
4900,1.789754,10.360704,10.352939,7.88183,2.336746
5000,2.347908,10.344417,10.341614,8.405679,2.336506
5000,2.342462,10.370233,10.510062,8.339151,2.348846
5000,2.34213,10.343146,10.341671,8.230476,2.341217
5000,2.044406,10.419812,10.357255,8.135559,2.336372
5000,1.789225,10.343357,10.340688,8.239656,2.336289
5000,1.78925,10.343542,10.340854,8.015801,2.33657
5000,1.789378,10.35933,10.353858,7.999707,2.33634
5000,1.789442,10.343114,10.340746,8.096368,2.336557
5000,1.789212,9.537843,10.360938,8.071693,2.336404
