SIZE,toupper_rawloop,toupper_rawloop_algo,toupper_transform,toupper_branch
1600,2.059655,7.199693,7.198506,3.552136
1700,1.742031,7.223014,7.704702,4.080272
1700,1.562019,7.206022,7.543839,3.692902
1700,1.561254,7.210259,7.547831,3.696971
1700,1.562248,7.35462,8.564828,3.658705
1700,1.561239,7.700909,7.309151,3.614428
1700,1.560398,8.873188,7.207796,3.618802
1700,1.560551,7.711447,7.204202,3.616891
1700,1.560413,7.323068,7.206007,3.617212
1700,1.562508,7.436979,7.204095,3.618542
1700,1.560841,7.617465,7.226318,3.616187
1800,2.093563,7.326294,7.205423,4.094278
1800,2.064891,7.193044,7.209583,3.695756
1800,2.062681,7.191484,7.201856,3.68719
1800,2.062623,9.17306,7.209251,3.743364
1800,2.062436,8.328739,7.201466,3.698356
1800,2.062623,7.195254,7.253769,4.494042
1800,2.06245,9.173277,7.208818,3.747611
1800,2.062407,8.323813,7.203228,3.733412
1800,2.062912,7.239873,7.209107,3.720571
1800,2.062594,7.195457,7.202563,3.783953
1900,2.115442,7.94352,7.203806,4.352838
1900,2.199723,7.356604,7.202068,3.770657
1900,2.389879,7.30522,7.203902,3.679342
1900,2.184616,7.237442,7.201658,3.648635
1900,2.193456,9.166642,7.282326,3.610469
1900,2.157206,7.196513,7.200508,3.60594
1900,2.163309,7.192271,7.199345,3.607924
1900,2.187681,7.778352,7.200248,3.599358
1900,2.137734,7.187317,7.199934,3.613973
1900,2.154606,7.187235,7.200016,3.608335
2000,2.083653,7.580001,7.195227,4.52504
2000,2.059382,7.187778,7.191977,4.699279
2000,2.058693,7.189702,7.193641,4.332978
2000,2.058953,7.18913,7.204535,4.082013
2000,2.058836,7.188545,7.245784,4.070625
2000,2.058992,7.187167,7.611812,4.047589
2000,2.058784,7.188233,7.459738,3.946657
2000,2.058823,7.256951,7.421102,4.09903
2000,2.058381,7.187011,7.392424,3.99048
2000,2.102828,7.188207,7.258836,3.932266
2100,2.099673,7.158035,7.148044,4.341183
2100,2.079195,7.14563,7.145803,3.936883
2100,2.080433,7.145258,7.184345,3.934654
2100,2.079022,7.145382,7.144961,3.868862
2100,2.078675,7.144899,7.144738,3.838256
2100,2.058445,7.948113,7.145171,3.845759
2100,1.593057,7.146075,7.145209,3.847183
2100,1.59349,7.14787,7.145209,3.826135
2100,1.593181,7.147289,7.145221,3.841698
2100,1.593528,7.147375,7.318232,3.8181
2200,2.099134,7.605638,7.223438,4.454604
2200,1.595124,7.495859,7.306343,4.022035
2200,1.59029,7.474752,7.137307,3.93575
2200,1.590692,8.157086,7.134412,3.929581
2200,1.589333,7.147459,7.134152,3.861024
2200,1.591389,7.602128,7.94547,3.841299
2200,1.595325,7.371544,7.135286,3.839668
2200,1.611149,7.352824,7.161357,3.821728
2200,1.804672,7.328951,7.135617,3.851664
2200,1.703189,7.424903,7.134175,3.854417
2300,1.610926,7.153063,7.141974,5.198259
2300,2.077977,7.139159,7.183608,4.29087
2300,2.075738,9.12219,7.148598,4.429835
2300,2.077423,9.122055,7.255323,4.244421
2300,2.077219,9.198619,7.534144,4.336732
2300,2.077004,7.139204,7.336556,4.400195
2300,2.077219,7.139227,7.353252,4.497039
2300,2.077536,7.138673,7.459524,4.211322
2300,1.845401,7.139001,7.203639,4.20195
2300,1.588261,7.139114,7.385221,4.266577
2400,2.092794,7.145818,7.169511,4.771737
2400,2.074984,7.128994,9.111949,4.343094
2400,2.074323,7.128875,9.111711,4.296218
2400,2.073987,7.129601,9.111028,4.28454
2400,2.075417,7.128171,9.111256,4.291333
2400,2.075298,7.185577,8.543297,4.275852
2400,2.083174,7.129406,7.130662,4.276935
2400,2.112186,9.110703,7.130099,4.329379
2400,1.586758,8.602696,7.130771,4.560866
2400,1.586336,9.110638,7.130197,4.448654
2500,2.18478,7.178704,7.136636,4.863362
2500,1.645717,7.127858,7.135284,4.37709
2500,1.738339,7.23111,7.134629,4.231136
2500,1.718465,7.128649,7.135357,4.232166
2500,1.647651,7.129762,7.184632,4.242493
2500,1.620476,7.144987,7.135201,4.158461
2500,1.604668,7.127494,7.135159,4.215869
2500,1.614246,7.127921,7.13517,4.224366
2500,1.608464,7.159963,7.146734,4.195807
2500,1.588184,7.132674,7.15988,4.891182
2600,2.12673,7.51643,7.29176,4.84899
2600,2.10754,7.58251,7.29648,4.40418
2600,2.10803,7.43303,7.13971,4.34714
2600,2.10937,7.34565,7.15397,4.38285
2600,2.11689,7.13364,7.1477,4.88531
2600,2.10728,7.36486,7.13957,4.41654
2600,2.10773,7.44824,7.13959,4.40253
2600,2.1078,7.53339,7.16485,4.36175
2600,2.10509,7.31903,7.13981,4.3764
2600,2.12257,7.28008,7.14017,4.22571
2700,2.119299,7.148507,7.43521,5.068219
2700,2.10445,7.13025,7.346907,4.649397
2700,2.103747,7.496464,7.414863,4.544646
2700,2.103987,8.806614,7.171821,4.555133
2700,2.147561,7.129489,7.611924,4.565629
2700,1.582312,7.129402,7.348245,4.502054
2700,1.582447,7.129239,7.357624,4.55467
2700,1.582562,7.149239,7.363181,4.616618
2700,1.583544,7.248877,7.291064,4.576722
2700,1.583583,7.298807,7.246373,4.578764
2800,2.116177,7.147112,7.138495,5.289756
2800,2.103409,7.134827,7.135765,5.327372
2800,2.103066,7.154745,7.135319,4.961079
2800,2.103381,7.157716,7.136183,4.91868
2800,2.103771,7.186725,7.137901,4.801485
2800,2.102954,7.137223,7.671727,4.85563
2800,2.103131,7.137204,7.461916,4.7112
2800,2.103242,7.134549,7.309993,4.688041
2800,2.1034,7.134437,7.967849,4.760526
2800,1.756486,7.134595,7.325862,4.618287
2900,1.598381,7.144612,7.137798,5.191241
2900,1.580603,7.135189,7.134651,5.21092
2900,2.090714,7.133226,7.134463,5.026948
2900,2.100746,7.132419,7.291987,4.899494
2900,2.100468,7.194263,7.136175,5.349912
2900,2.100352,7.133181,7.134508,5.354861
2900,2.100934,7.133234,7.134499,4.975611
2900,2.101212,9.116084,7.134266,5.447888
2900,2.135927,9.116281,7.158607,5.231164
2900,1.580056,7.157952,7.134158,4.910306
3000,2.111928,7.143699,7.124841,5.281935
3000,2.098356,7.13323,7.123064,4.965714
3000,2.098391,7.131029,7.145883,5.536041
3000,1.78425,7.189329,7.123341,4.93389
3000,1.605041,7.131124,7.124113,4.941941
3000,1.579049,9.116926,7.125361,4.971018
3000,1.57768,9.117004,7.123445,5.339915
3000,1.577264,7.155261,7.142261,5.134151
3000,1.577819,7.131895,7.122249,5.039693
3000,1.577273,7.132164,7.121599,5.470695
3100,2.110655,7.137763,7.131196,5.293399
3100,2.095843,7.128118,7.129359,5.068046
3100,2.096581,7.130081,7.129057,5.054081
3100,2.096556,7.129603,7.150579,5.070931
3100,2.096095,7.168544,7.127715,5.077339
3100,2.097948,7.129745,7.127967,5.085415
3100,2.095952,7.128999,7.127934,5.051523
3100,2.08806,7.127866,7.127833,5.031495
3100,1.576732,7.172368,7.621565,5.432146
3100,1.576506,7.129905,7.129015,5.320816
3200,2.104838,7.137065,7.119068,5.488356
3200,2.1125,7.126698,7.142988,5.161707
3200,2.09352,7.124902,7.143329,5.136511
3200,2.093163,8.944528,7.116996,5.06753
3200,2.0943,7.125016,7.117118,5.116264
3200,2.09378,9.110173,7.119141,5.138575
3200,2.093723,9.109856,7.319528,5.117929
3200,2.093869,7.161375,7.117793,5.264374
3200,2.093796,7.125007,7.117622,6.232094
3200,1.691958,7.124447,7.117557,5.337979
3300,2.10511,7.130374,7.837046,5.555625
3300,2.094915,7.117571,9.109289,5.276527
3300,2.059933,7.142484,9.109132,5.245673
3300,2.085279,7.11709,7.141901,5.225937
3300,2.094592,7.117051,7.14101,5.978771
3300,2.095025,7.117019,7.123181,5.514348
3300,2.094678,7.135322,7.122865,5.406408
3300,2.094489,7.116358,7.122007,5.605261
3300,2.094749,7.116562,7.141932,5.295483
3300,2.094678,9.10286,7.124197,5.713957
3400,1.614669,7.178845,7.124864,5.436072
3400,1.598809,7.124688,7.122968,5.138839
3400,1.598901,7.123472,7.121178,5.160251
3400,1.598021,7.122516,7.14051,5.270529
3400,1.598373,9.042984,7.121002,5.462768
3400,1.598059,7.12361,7.121064,5.375286
3400,1.598228,7.123373,7.120964,5.262293
3400,1.59796,7.122432,7.497467,5.48912
3400,1.598373,7.120001,7.122509,5.805035
3400,1.597906,7.15637,7.122241,5.495521
3500,2.102412,7.123681,7.482213,5.758539
3500,2.092317,7.115182,7.121942,5.821638
3500,2.091722,8.999491,7.120613,5.666336
3500,2.09121,7.114447,7.122106,5.622953
3500,2.092458,7.113726,7.11935,5.68883
3500,2.092837,7.114083,7.140202,5.658068
3500,2.033683,8.838945,7.119238,5.827246
3500,1.596779,7.114321,7.120189,5.723202
3500,2.091388,7.114075,7.119825,5.499966
3500,2.091767,7.114172,7.144295,5.405898
3600,2.100396,7.176636,7.125748,6.177622
3600,2.088919,7.124484,7.142229,5.667393
3600,2.088912,7.122231,7.116438,5.711406
3600,2.088623,8.817965,7.116554,5.578806
3600,2.091202,7.142792,7.116857,5.655376
3600,2.088638,7.121732,7.202339,5.534584
3600,2.089909,7.119501,7.135332,5.447498
3600,2.088428,7.284601,7.118721,5.48873
3600,2.088537,7.121826,7.143522,5.596565
3600,2.088392,7.122093,7.493113,5.588007
3700,2.099374,7.168839,7.115863,6.32391
3700,1.617242,7.121105,7.113474,5.679524
3700,2.089093,7.120557,7.532861,5.452671
3700,2.089128,7.120255,7.137267,5.455896
3700,2.088896,7.142059,7.119699,5.540762
3700,2.089114,7.122103,7.198332,5.489071
3700,2.090414,7.12159,7.55463,5.51739
3700,2.088875,7.119875,7.314271,5.535147
3700,2.088952,7.139059,7.249454,5.536482
3700,2.088945,7.122075,7.446983,5.697752
3800,2.096818,7.123206,7.126367,6.022804
3800,2.086562,7.116542,7.15598,5.779143
3800,2.086479,9.098659,7.432962,5.762743
3800,2.08637,7.132245,7.298672,5.797323
3800,2.086261,7.113956,7.428576,5.727102
3800,2.086411,7.113231,7.421324,5.727615
3800,2.087362,7.113429,7.343878,5.629417
3800,2.086356,7.402214,7.375215,5.736921
3800,2.086322,7.113874,7.316941,5.719158
3800,2.08715,7.135378,7.193769,5.729818
3900,2.095053,7.122907,7.345813,5.990133
3900,2.085307,7.113793,7.386413,5.721333
3900,2.085373,7.142547,7.367333,5.67558
3900,2.085013,7.112533,7.965213,5.674007
3900,1.8009,7.11248,7.231647,5.630747
3900,1.607827,7.11106,7.151847,5.713987
3900,1.607633,7.127587,7.18108,5.738827
3900,1.60784,8.079407,7.113093,5.83776
3900,1.60744,7.349767,7.1122,5.818327
3900,1.60778,7.400347,7.111987,5.872267
4000,2.094274,7.128758,7.243548,6.131873
4000,2.085226,7.447323,7.164573,6.497387
4000,2.084999,7.35358,7.161797,5.849064
4000,2.084856,7.494227,7.334457,5.860114
4000,2.084901,7.201733,7.163403,5.829317
4000,2.08496,7.357382,7.159847,5.870085
4000,2.085226,7.402902,7.20681,5.752766
4000,2.085233,7.428928,7.182806,5.738161
4000,2.08611,7.151722,7.150026,5.76212
4000,1.946009,7.109778,7.169753,5.856994
4100,2.092696,7.156823,7.13031,6.219162
4100,2.08558,7.118058,7.11216,6.22752
4100,2.084693,8.95109,7.11315,6.093049
4100,2.084401,7.137704,7.113289,6.020275
4100,2.084731,7.115363,7.620403,5.952878
4100,2.084331,7.331937,7.115027,5.89219
4100,2.084306,7.267266,7.114152,5.770224
4100,2.084306,7.159829,7.137729,5.774695
4100,2.084319,7.114659,7.41534,5.81998
4100,2.084426,7.121616,7.281896,5.775754
4200,2.091855,7.12174,7.37758,6.210731
4200,2.083881,8.929304,7.442543,5.873889
4200,2.083584,7.116014,7.325698,5.8916
4200,2.08356,7.244442,7.367329,5.89373
4200,2.083417,9.099047,7.344282,5.869011
4200,2.083609,9.207442,7.463876,5.86053
4200,2.083473,9.09748,7.232191,5.873264
4200,2.083863,9.097406,7.123542,5.788776
4200,2.083349,8.497085,7.14753,5.873425
4200,2.0072,7.115259,7.107942,5.953208
4300,2.120016,7.152667,7.224372,6.297061
4300,1.999956,7.124236,7.106314,6.016146
4300,2.081294,7.209528,7.105873,6.033705
4300,2.081282,7.479184,7.12582,6.010813
4300,2.081022,7.53766,7.10476,6.014677
4300,2.081602,7.514847,7.104736,6.041312
4300,2.08098,7.355781,7.105413,6.169238
4300,2.081094,7.143808,7.403645,6.156528
4300,2.08104,7.12712,7.106024,6.054777
4300,2.081324,7.106387,7.105927,6.046203
4400,2.088261,7.121317,7.111071,6.616125
4400,2.081601,7.161127,7.12592,6.096492
4400,2.08172,7.135629,7.115101,6.119065
4400,2.081607,7.131599,7.108323,6.169664
4400,2.081625,7.132202,7.110055,6.156516
4400,2.042412,7.440975,7.133732,6.080472
4400,2.081525,7.145816,7.243169,6.164925
4400,2.081536,7.158822,7.654164,6.252817
4400,2.081253,7.494665,7.399612,6.214278
4400,2.083634,7.109133,7.584383,6.069109
4500,2.086951,7.111896,7.673865,6.315175
4500,2.018299,7.103755,7.322738,6.005815
4500,2.080924,7.898424,7.118251,6.019023
4500,2.080965,9.090542,7.105985,6.014228
4500,2.080612,9.090582,7.342747,6.056428
4500,2.080792,7.243132,7.114386,6.042729
4500,2.080653,7.103587,7.105927,6.025893
4500,1.662336,7.204635,7.12248,6.017717
4500,1.598012,7.929081,7.106366,6.000846
4500,1.598295,7.490161,7.111526,6.008716
4600,2.09036,7.587591,7.115623,6.391105
4600,2.081102,7.822812,7.1282,6.146677
4600,2.080763,7.201491,7.109593,6.05904
4600,2.082515,7.10918,7.10987,6.098017
4600,2.087738,7.139402,7.328948,6.209699
4600,1.775088,7.1055,7.110621,6.335454
4600,1.676683,7.114442,7.112843,6.155613
4600,1.664136,7.29456,7.125017,6.125707
4600,1.960089,7.113108,7.111667,6.034787
4600,1.621303,7.106009,7.110763,6.063483
4700,2.086948,7.132718,7.104976,6.519113
4700,2.079502,7.10544,7.122871,6.1906
4700,2.087335,7.104589,7.233438,6.284416
4700,2.050327,7.104754,7.426878,6.165917
4700,2.079015,7.117218,7.340663,6.114154
4700,2.079309,9.090789,7.518791,6.157884
4700,2.079226,8.523503,7.391158,6.134246
4700,2.079037,7.102282,7.100716,6.186529
4700,2.07891,7.101491,7.129222,6.172151
4700,2.07906,7.42238,7.103128,6.272002
4800,2.08383,7.11308,7.213473,6.654202
4800,2.077617,7.11035,7.103368,6.502091
4800,2.077514,7.391134,7.107187,6.514056
4800,2.077303,7.398257,7.120885,6.44937
4800,2.077465,7.49938,9.093641,6.396498
4800,2.077378,7.535331,9.092525,6.466487
4800,2.036472,7.233032,7.320733,6.55154
4800,2.077194,7.13934,7.108449,6.432958
4800,2.077162,7.107078,7.107225,6.444793
4800,2.077552,7.113968,7.12173,6.475408
4900,2.084393,7.113526,7.1194,6.79432
4900,1.671482,7.123395,7.101513,6.656472
4900,2.077968,7.120344,7.101497,6.663779
4900,2.077809,8.611062,7.119219,6.594046
4900,2.077681,7.199517,7.139181,6.521256
4900,2.077665,7.165457,7.426364,6.644183
4900,2.000318,7.102967,7.299564,6.403365
4900,2.073017,7.128823,7.418262,6.418832
4900,2.077734,7.103614,7.344804,6.498727
4900,2.077761,7.103656,7.692132,6.477799
5000,2.015572,7.112295,7.103231,6.815583
5000,2.077535,7.143874,7.12375,6.551126
5000,2.077187,7.165096,7.476742,6.589185
5000,2.076906,7.409756,7.099388,6.608103
5000,2.076963,7.454668,7.109367,6.566326
5000,2.036731,7.309853,7.183914,6.45761
5000,2.077036,7.347075,7.247687,6.517805
5000,2.076963,7.45317,7.097698,6.456408
5000,2.076989,7.145856,7.141118,6.64755
5000,2.077078,8.618917,7.096502,6.477505
5100,2.124832,7.131178,7.104882,6.696025
5100,2.076477,7.120426,8.829707,6.471354
5100,2.076523,7.12375,8.176602,6.555156
5100,2.076385,8.165468,7.284746,6.470024
5100,2.076345,7.569971,7.387196,6.402332
5100,2.076258,7.421914,7.259175,6.44124
5100,2.076391,7.187231,7.516727,6.425507
5100,2.076472,7.105224,7.352453,6.439124
5100,2.076029,7.830114,7.156887,6.467189
5100,2.076125,7.110011,7.126982,6.471619
5200,2.084135,7.147,7.10373,6.728155
5200,2.07784,7.34645,7.117545,6.42829
5200,2.084525,7.325595,7.10313,6.37872
5200,1.83545,7.263205,7.10293,6.34703
5200,1.96749,7.43538,7.3176,6.346985
5200,2.074215,7.357585,7.09893,6.370685
5200,2.07451,7.201145,7.09846,6.424245
5200,2.07419,7.11374,7.114395,6.429895
5200,2.07412,7.1138,7.09887,6.39375
5200,1.807165,7.446105,7.09849,6.39996
5300,2.080093,7.110853,7.106663,6.866664
5300,2.075452,7.121042,8.117205,6.778877
5300,2.074751,7.108307,7.744649,6.730836
5300,2.075163,7.696834,7.410643,6.560678
5300,2.074579,7.315434,7.421955,6.636377
5300,2.075276,7.112511,7.456932,6.648435
5300,1.913311,7.107031,7.391334,6.592864
5300,2.040657,7.126428,7.290218,6.72254
5300,2.074604,7.105736,7.118726,6.7015
5300,2.07479,7.306765,7.104201,6.517606
5400,2.079644,7.396571,9.067962,6.776616
5400,2.07414,7.421503,8.51123,6.594789
5400,2.073765,7.392681,7.100013,6.627588
5400,2.073866,7.363426,7.099979,6.640992
5400,1.938993,7.540713,7.306294,6.647237
5400,1.947159,7.125175,7.100013,6.715179
5400,1.589255,7.142821,7.101197,6.648691
5400,1.589009,7.118424,7.112117,6.681389
5400,1.589192,7.101361,7.0984,6.718968
5400,1.589828,7.114736,7.119248,6.679785
5500,2.079206,7.127876,7.104065,7.048529
5500,2.073817,7.105653,7.120611,6.953861
5500,1.920875,7.12946,7.113,6.861405
5500,1.588023,7.132481,7.477576,6.727349
5500,1.588113,7.247812,7.323567,6.70445
5500,2.0592,7.129975,7.368906,6.671397
5500,2.073561,7.103677,7.474981,6.663861
5500,2.07384,7.104637,7.186896,6.80897
5500,2.073618,7.400385,7.146062,6.825459
5500,2.073713,7.105256,7.148653,6.86755
5600,2.077363,7.37419,7.105925,6.948505
5600,2.073932,7.404391,7.117105,6.726845
5600,2.072901,7.417252,7.098813,6.868053
5600,2.073384,7.222545,7.099667,6.921181
5600,2.076304,7.232634,7.116325,6.845364
5600,2.07662,7.115211,7.098887,6.84248
5600,2.071388,7.170749,7.109658,6.823691
5600,1.984826,7.099333,7.106501,6.746299
5600,1.903493,9.085914,7.098696,6.734613
5600,1.919561,7.266851,7.110271,6.748421
5700,2.078267,7.107086,7.096691,7.084234
5700,1.99503,7.118134,7.102009,6.86748
5700,2.072871,7.177665,7.265216,6.796199
5700,2.072839,7.146492,7.335535,6.757975
5700,2.072816,7.242711,7.38967,6.740473
5700,2.072802,7.108683,7.375602,6.708424
5700,2.072807,7.101348,7.242022,6.717634
5700,2.072811,7.337907,7.141452,6.770263
5700,1.67575,7.101225,7.093963,6.795127
5700,1.585558,7.111639,7.106959,6.83805
5800,1.649225,7.534401,7.112744,7.289051
5800,1.586574,7.347726,7.102339,7.066231
5800,1.586538,7.407951,7.113358,7.064303
5800,1.6224,7.126775,7.101604,6.991871
5800,1.679385,7.40415,7.100681,6.966597
5800,1.639394,7.350711,7.1136,7.024841
5800,1.641165,7.098081,7.101057,6.956564
5800,1.652201,7.112192,7.129213,6.988226
5800,1.642667,7.09739,7.136919,7.009336
5800,1.653721,7.097502,7.29781,6.975845
5900,2.076378,7.103209,7.099269,7.332176
5900,2.072517,7.171241,7.109585,7.145999
5900,2.072332,7.411141,7.099058,7.09321
5900,2.072738,7.329061,7.099278,7.147805
5900,2.072143,7.527564,7.109162,7.109317
5900,2.071874,7.390161,7.099794,7.243856
5900,2.072425,7.457289,7.121329,7.244869
5900,2.087976,7.113327,7.103808,7.153697
5900,1.591328,7.116672,7.100556,7.16296
5900,1.590821,7.118478,7.116799,7.130266
6000,2.076733,7.150966,7.766022,7.238981
6000,2.072742,7.132446,7.279168,6.960776
6000,2.072404,7.18029,7.502218,6.992332
6000,1.774292,7.15757,7.417852,7.067186
6000,1.591698,7.26804,7.372764,7.132589
6000,1.591629,7.127029,7.338643,7.114649
6000,1.591287,7.102983,7.148059,7.123549
6000,1.591659,7.101653,7.179579,7.041242
6000,1.591525,7.193689,7.179345,6.995933
6000,2.03879,7.101168,7.127319,7.033927
6100,2.075486,7.107671,7.127431,7.278278
6100,2.071181,7.114964,7.307534,7.073995
6100,2.071186,7.108703,7.353699,7.070073
6100,2.071411,7.209992,7.455683,7.097518
6100,2.070866,7.11357,7.391161,7.131958
6100,2.06671,7.097292,7.179406,7.13934
6100,1.590241,7.129818,7.104385,7.138044
6100,2.042202,7.097356,7.136497,7.125637
6100,2.07099,7.187832,7.116558,7.135385
